PCA1,PCA2,Segment
90.45682710175015,-3.6339030899934457,Career Focused Learners
-303.7874986996883,-0.10267670687541375,Inactive Learners
310.272172281428,6.071283580821752,Premium Power Learners
678.3473558722801,5.011937317526555,Premium Power Learners
42.92099605332817,-1.8260054380059874,Inactive Learners
-303.007569072495,-0.10351618422142161,Quality Seekers
-303.78746100845285,-0.10856230090535712,Career Focused Learners
-303.78754610515966,-0.09527420716764978,Quality Seekers
-27.428521521190305,-2.5724735928172233,Beginner Learners
22.231778593535353,-1.6344456443294362,Career Focused Learners
-4.217167426236756,-1.397923859007602,Beginner Learners
24.201764091122982,-1.6620553234444262,Inactive Learners
1128.6170044277405,1.8324060743893023,Premium Power Learners
-303.7874571227585,-0.10916906317648523,Inactive Learners
1731.3323628675091,-2.487508258484154,Premium Power Learners
-303.78757291645087,-0.09108754749686532,Quality Seekers
659.3785926608434,-5.938361528284932,Career Focused Learners
1164.335464411684,3.7401729495673246,Premium Power Learners
-303.7875620365066,-0.09278648185602423,Quality Seekers
-303.7874986996883,-0.10267670687541375,Inactive Learners
-126.4422868997244,-0.30646231664548895,Beginner Learners
-303.787568642187,-0.09175498599510634,Quality Seekers
-303.7875620365066,-0.09278648185602423,Quality Seekers
-303.78753949947924,-0.09630570302856789,Career Focused Learners
-184.7153421838444,2.9688256873900523,Beginner Learners
24.189465507387297,-3.040939277581006,Inactive Learners
-303.7752012816609,1.2763892759425046,Beginner Learners
708.9532597485752,4.421953962556141,Premium Power Learners
22.21949827256327,-3.016181381140319,Career Focused Learners
-303.78752084814624,-0.099218161929983,Quality Seekers
-303.7874722769666,-0.10680269031908529,Inactive Learners
-18.748838380820757,-2.6546238298580684,Career Focused Learners
-27.428521521190305,-2.5724735928172233,Beginner Learners
-55.68509263546545,-0.9413861328527754,Career Focused Learners
-303.007569072495,-0.10351618422142161,Quality Seekers
-303.7875363909237,-0.09679111284547037,Quality Seekers
-303.7751651447032,1.2707463868210127,Beginner Learners
-303.78753949947924,-0.09630570302856789,Career Focused Learners
42.90872933228627,-3.2098648427658185,Inactive Learners
-303.7875363909237,-0.09679111284547037,Quality Seekers
22.231763050757877,-1.6320185952449235,Career Focused Learners
-214.20106617731116,-0.9042018690068951,Career Focused Learners
24.189465507387297,-3.040939277581006,Inactive Learners
-4.229486992722059,-2.7735312968800896,Career Focused Learners
906.0905692527708,4.355914512926979,Premium Power Learners
-303.7751394991203,1.2667417558315666,Inactive Learners
-303.7875266766878,-0.09830801852329074,Career Focused Learners
53.2170123707466,11.128258344911336,Premium Power Learners
-303.78752084814624,-0.099218161929983,Quality Seekers
-303.7874882083135,-0.10431496500745974,Beginner Learners
-303.7875620365066,-0.09278648185602423,Quality Seekers
-303.007569072495,-0.10351618422142161,Quality Seekers
-249.92963214786772,-0.5862983176715315,Inactive Learners
187.09284616767303,-4.477776312861744,Career Focused Learners
1144.5562558079123,3.9165500595102074,Premium Power Learners
-303.77519467598046,1.2753577800815867,Beginner Learners
184.1130004497159,-4.456677370903987,Beginner Learners
-186.112182884683,-1.155798584208801,Beginner Learners
-303.7875620365066,-0.09278648185602423,Quality Seekers
-249.89748003856397,3.0241234132976365,Quality Seekers
-303.78746100845285,-0.10856230090535712,Career Focused Learners
-303.7875363909237,-0.09679111284547037,Quality Seekers
-4.217171506215834,-1.3972867586229174,Career Focused Learners
-27.428521521190305,-2.5724735928172233,Beginner Learners
-303.78749053973013,-0.10395090764478288,Inactive Learners
24.189465507387297,-3.040939277581006,Inactive Learners
-184.75224415216263,-1.1668553553858818,Career Focused Learners
-303.78752084814624,-0.099218161929983,Quality Seekers
-303.7752306186534,1.2809703310895226,Beginner Learners
-303.775270252736,1.28715930625503,Quality Seekers
338.2585499054374,8.892441958041912,Premium Power Learners
22.21949827256327,-3.016181381140319,Career Focused Learners
-303.007569072495,-0.10351618422142161,Quality Seekers
659.3739328204153,-6.4776774993728345,Quality Seekers
-303.78755970508996,-0.09315053921870131,Beginner Learners
168.510542102954,-0.1837105296637811,Career Focused Learners
-303.7875464937291,-0.09521353094053708,Quality Seekers
-303.7875464937291,-0.09521353094053708,Quality Seekers
-303.7875787449924,-0.09017740409017305,Quality Seekers
-303.7874986996883,-0.10267670687541375,Inactive Learners
-303.7874458542448,-0.11092867376275706,Inactive Learners
-303.787568642187,-0.09175498599510634,Quality Seekers
1357.5901608510078,1.1666248384755702,Premium Power Learners
24.189465507387297,-3.040939277581006,Inactive Learners
845.4060061285006,2.9837182669810822,Premium Power Learners
-249.89273581380633,3.5502625303975384,Beginner Learners
-303.7629643509425,2.6649005247809843,Quality Seekers
-303.78752823096556,-0.0980653136148395,Career Focused Learners
-303.78757058503425,-0.0914516048595424,Quality Seekers
-303.78752084814624,-0.099218161929983,Quality Seekers
-303.7875476594374,-0.09503150225919854,Quality Seekers
291.035666992888,-1.2805672471447318,Beginner Learners
-18.748838380820757,-2.6546238298580684,Career Focused Learners
-4.229486992722059,-2.7735312968800896,Career Focused Learners
-55.697334293778624,-2.329159154261383,Career Focused Learners
-303.75529432779524,3.49958407154708,Inactive Learners
-303.775169418967,1.2714138253192535,Beginner Learners
-303.78755970508996,-0.09315053921870131,Beginner Learners
-4.229486992722059,-2.7735312968800896,Career Focused Learners
-303.78746994554996,-0.10716674768176215,Inactive Learners
-214.20106617731116,-0.9042018690068951,Career Focused Learners
-4.229486992722059,-2.7735312968800896,Career Focused Learners
-303.7874645055778,-0.10801621486134172,Beginner Learners
-249.92963214786772,-0.5862983176715315,Inactive Learners
-4.229486992722059,-2.7735312968800896,Career Focused Learners
-246.45750913856432,0.7675325514275484,Beginner Learners
-303.7875363909237,-0.09679111284547037,Quality Seekers
-303.77520322450806,1.2766926570780688,Beginner Learners
566.0888504151103,7.924491232036841,Premium Power Learners
184.1130004497159,-4.456677370903987,Beginner Learners
-303.78746994554996,-0.10716674768176215,Inactive Learners
262.1262769564775,10.107437273599718,Premium Power Learners
42.90872933228627,-3.2098648427658185,Inactive Learners
-303.78747927121645,-0.1057105182310547,Beginner Learners
-303.787454014203,-0.10965447299338771,Inactive Learners
-303.7874458542448,-0.11092867376275706,Inactive Learners
1582.1359939884412,-2.5299250789714716,Premium Power Learners
-303.7874645055778,-0.10801621486134172,Beginner Learners
-246.46985843061165,-0.6034331550708085,Quality Seekers
111.71820539235523,-2.4335605961312505,Career Focused Learners
24.9816869183511,-1.6618329668159593,Inactive Learners
-303.775200504522,1.2762679234882792,Career Focused Learners
53.100504899818475,-1.903686095939804,Beginner Learners
156.69645079631545,-2.8416793561515123,Beginner Learners
22.231814147638886,-1.639997519110259,Beginner Learners
780.8661559502657,4.410049444168277,Premium Power Learners
599.6310083064211,-5.409486322384747,Beginner Learners
1509.9141827792432,-2.418875163362785,Premium Power Learners
111.71817935820292,-2.429495288914692,Career Focused Learners
-55.697334293778624,-2.329159154261383,Career Focused Learners
-303.7875091910631,-0.10103844874336754,Beginner Learners
-303.78743070003674,-0.11329504662015677,Inactive Learners
524.6458132448672,7.76021191749898,Premium Power Learners
1134.4967509857277,1.782813889843258,Premium Power Learners
-303.7875041396604,-0.10182723969583418,Career Focused Learners
-303.7875091910631,-0.10103844874336754,Beginner Learners
156.49639932654884,-2.830609284099558,Beginner Learners
-303.77516067615466,1.2700486102092154,Beginner Learners
-55.66046234244942,1.8112091270590172,Beginner Learners
-249.91737591820066,0.7991993452203452,Quality Seekers
-303.7874986996883,-0.10267670687541375,Inactive Learners
168.47358184922024,-4.310290138372793,Quality Seekers
-126.4423366366124,-0.2986957595750481,Beginner Learners
649.963795627797,4.731287795332395,Premium Power Learners
-303.7875787449924,-0.09017740409017305,Quality Seekers
-303.7875593165205,-0.09321121544581401,Quality Seekers
891.9659535799326,2.7874070151662416,Premium Power Learners
-303.7875041396604,-0.10182723969583418,Career Focused Learners
602.6875947170622,3.1476101812709762,Premium Power Learners
-303.7752141044523,1.278391591437228,Beginner Learners
-303.7875593165205,-0.09321121544581401,Quality Seekers
1065.1990316120746,1.2411758569516953,Premium Power Learners
-265.8867001384443,0.9358531516360531,Inactive Learners
-55.697334293778624,-2.329159154261383,Career Focused Learners
-303.77523217293117,1.2812130359979739,Quality Seekers
-303.7874485742309,-0.11050394017296727,Inactive Learners
-91.39366212414382,-0.6232365088579913,Beginner Learners
-303.7874365285783,-0.1123849032134645,Inactive Learners
-249.91731899277806,0.7903102779483173,Inactive Learners
24.189465507387297,-3.040939277581006,Inactive Learners
301.8925063823795,6.1461921548323035,Premium Power Learners
-303.7874485742309,-0.11050394017296727,Inactive Learners
-303.78752084814624,-0.099218161929983,Quality Seekers
-303.7799186951273,0.7460634991718178,Beginner Learners
116.05263949867356,0.2843103284237327,Career Focused Learners
-54.77348151780316,13.78501147580923,Premium Power Learners
-303.7875787449924,-0.09017740409017305,Quality Seekers
22.21949827256327,-3.016181381140319,Career Focused Learners
263.4880553101918,10.31066555726317,Premium Power Learners
-303.7628949265364,2.6540597055368274,Inactive Learners
-303.7799495863976,0.750887259227287,Quality Seekers
-303.78757058503425,-0.0914516048595424,Quality Seekers
791.1298678385078,5.9143518179648815,Premium Power Learners
-91.40598499346942,-1.9983281988000199,Beginner Learners
187.10520847679646,-3.1088432599716658,Career Focused Learners
-303.787568642187,-0.09175498599510634,Quality Seekers
1222.8279424335549,1.5242396922219899,Premium Power Learners
-66.93590144253523,13.581875029229678,Premium Power Learners
184.1253363361177,-3.0836183345702373,Beginner Learners
-303.78757058503425,-0.0914516048595424,Quality Seekers
-4.229486992722059,-2.7735312968800896,Career Focused Learners
-303.78754610515966,-0.09527420716764978,Quality Seekers
-303.78757058503425,-0.0914516048595424,Quality Seekers
-303.78747927121645,-0.1057105182310547,Beginner Learners
-246.46985843061165,-0.6034331550708085,Quality Seekers
22.23178228494504,-1.635022068487008,Career Focused Learners
168.47358184922024,-4.310290138372793,Quality Seekers
